"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 05 23:19:38 CST 2021","Mon Apr 05 23:19:38 CST 2021","1","","test_demo04","","","","test_case_01","
    用例描述：Test case 01
    "
"passed","Mon Apr 05 23:22:01 CST 2021","Mon Apr 05 23:22:01 CST 2021","0","","test_demo02","Test_demo02","","","用例case01",""
"passed","Mon Apr 05 23:22:01 CST 2021","Mon Apr 05 23:22:01 CST 2021","0","","test_demo02","Test_demo02","","","用例case02",""
"passed","Mon Apr 05 23:19:38 CST 2021","Mon Apr 05 23:19:38 CST 2021","1","","test_demo04","","","","test_case_02","
    用例描述：Test case 02
    "
